id,user_id,caption,media_type,media_url,permalink,thumbnail_url,timestamp,like_count,comments_count,is_comment_enabled
ig_med_001,ig_user_chimamanda_off,On revisions and writing slowly.,image,https://media.example-ig.com/ig_med_001.jpg,https://example-ig.com/p/ig_med_001,https://media.example-ig.com/ig_med_001_thumb.jpg,2026-09-04T08:30:00Z,18200,412,true
ig_med_002,ig_user_chimamanda_off,Bookshelf snapshot. What is yours reading this season.,image,https://media.example-ig.com/ig_med_002.jpg,https://example-ig.com/p/ig_med_002,https://media.example-ig.com/ig_med_002_thumb.jpg,2026-09-11T08:30:00Z,22400,614,true
ig_med_003,ig_user_chimamanda_off,"Lagos library visit, brief notes.",image,https://media.example-ig.com/ig_med_003.jpg,https://example-ig.com/p/ig_med_003,https://media.example-ig.com/ig_med_003_thumb.jpg,2026-09-18T08:30:00Z,19400,502,true
ig_med_004,ig_user_helon_habila,Class with the new MFA cohort.,image,https://media.example-ig.com/ig_med_004.jpg,https://example-ig.com/p/ig_med_004,https://media.example-ig.com/ig_med_004_thumb.jpg,2026-09-06T08:30:00Z,2400,84,true
ig_med_005,ig_user_helon_habila,Walking with the manuscript.,image,https://media.example-ig.com/ig_med_005.jpg,https://example-ig.com/p/ig_med_005,https://media.example-ig.com/ig_med_005_thumb.jpg,2026-09-14T08:30:00Z,2100,72,true
ig_med_006,ig_user_chigozie_obioma,Lagos light at six in the morning.,image,https://media.example-ig.com/ig_med_006.jpg,https://example-ig.com/p/ig_med_006,https://media.example-ig.com/ig_med_006_thumb.jpg,2026-09-09T08:30:00Z,3400,102,true
ig_med_007,ig_user_chigozie_obioma,Bookshop window.,image,https://media.example-ig.com/ig_med_007.jpg,https://example-ig.com/p/ig_med_007,https://media.example-ig.com/ig_med_007_thumb.jpg,2026-09-22T08:30:00Z,2800,88,true
ig_med_008,ig_user_oyinkan_brait,Drafting a new chapter.,image,https://media.example-ig.com/ig_med_008.jpg,https://example-ig.com/p/ig_med_008,https://media.example-ig.com/ig_med_008_thumb.jpg,2026-09-25T08:30:00Z,2200,74,true
ig_med_009,ig_user_eloghosa_osun,Studio corner.,image,https://media.example-ig.com/ig_med_009.jpg,https://example-ig.com/p/ig_med_009,https://media.example-ig.com/ig_med_009_thumb.jpg,2026-09-13T08:30:00Z,1800,64,true
ig_med_010,ig_user_lola_shoneyin,Aké Festival programme drop.,image,https://media.example-ig.com/ig_med_010.jpg,https://example-ig.com/p/ig_med_010,https://media.example-ig.com/ig_med_010_thumb.jpg,2026-09-07T08:30:00Z,4200,138,true
