id,business_id,rating,text,user_name,time_created
rev_001,biz_yard_park,4,Reliable Saturday lunch spot. Garden seating works for the kids.,Sheila,2026-09-13T13:30:00Z
rev_002,biz_sahad_stores,4,Stocked the imported flour we needed before the long weekend.,Sheila,2026-09-09T18:00:00Z
rev_003,biz_dunes_centre,5,"Friday afternoon meeting spot. Good Wi-Fi, quiet corner.",Sheila,2026-09-19T14:15:00Z
rev_004,biz_blu_cabana,5,Date night dependable. Pasta is consistently good.,Sheila,2026-08-23T20:00:00Z
rev_005,biz_chocolate_room,4,Birthday cake order arrived on time.,Sheila,2026-08-30T16:45:00Z
rev_006,biz_dome_indian,5,Best butter chicken in the city. Kids loved the naan.,Sheila,2026-07-19T19:30:00Z
rev_007,biz_jevinik,5,Egusi and pounded yam done properly. Family favourite.,Sheila,2026-06-22T13:00:00Z
rev_008,biz_tilapia_grill,4,"Quick grill, generous portions. Good for casual dinners.",Sheila,2026-08-15T19:15:00Z
rev_009,biz_terra_lagos,5,Brunch and bookshop visit on Lagos trip. Always a stop.,Sheila,2026-04-12T11:30:00Z
rev_010,biz_glover_court_suya,4,Late-night suya run after the Lagos wedding.,Sheila,2026-04-15T22:00:00Z
rev_011,biz_sunrise_med_la,5,Quick walk-in clinic visit on the Lagos trip. Friendly reception.,Sheila,2026-04-13T15:00:00Z
rev_012,biz_maitama_pharm,5,Family pharmacy with reliable home delivery within an hour.,Sheila,2026-09-17T17:00:00Z
rev_013,biz_book_kiosk,5,Picked up Eloghosa Osunde first edition. Helpful owner.,Sheila,2026-09-04T14:00:00Z
rev_014,biz_maitama_fitness,4,Steady three times a week. Yoga studio is clean.,Sheila,2026-09-20T07:30:00Z
rev_015,biz_bread_factory,4,Morning sourdough run before the office.,Sheila,2026-09-25T06:30:00Z
rev_016,biz_cilantro_caf,4,"Brunch with friends in Lekki, decent shakshuka.",Sheila,2026-04-14T11:30:00Z
rev_017,biz_sherif_lebanese,4,Mezze sharer platter great for groups.,Sheila,2026-07-08T20:30:00Z
rev_018,biz_paddington,4,Solid weekday brunch. Service was slower than usual.,Sheila,2026-09-05T12:45:00Z
